"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"43427_at",1949.5416744186,1445.79647906977,9.4496210270718,6.54317504324784e-15,8.78629090563779e-11,-4.21514218556164
"49452_at",2645.65601860465,2374.59596744186,9.40957960328921,7.88609334976241e-15,8.78629090563779e-11,-4.21676140098093
"203548_s_at",3561.4558627907,2560.38565,9.253034252005,1.63661570810496e-14,1.21562359412343e-10,-4.22316016133976
"207092_at",2439.53672093023,1635.74252790698,9.11610508901778,3.10033676776491e-14,1.72712010490264e-10,-4.22884632514453
"219140_s_at",2910.60338372093,1756.58399651163,9.03969832394092,4.42848819790402e-14,1.97360005027791e-10,-4.23205538295426
"209699_x_at",4107.89393953489,3408.4834255814,8.90466934905898,8.31584566807633e-14,3.08836648369575e-10,-4.23778979546579
"215695_s_at",2692.13434418605,2080.53973488372,8.74705436919074,1.73484753286232e-13,5.52251536782445e-10,-4.24458526042138
"203980_at",5179.06234883721,5368.09138372093,8.71334630100837,2.03021089417341e-13,5.65489866935826e-10,-4.24605275379779
"205382_s_at",4092.26366046512,2848.98001860465,8.65328124256812,2.68650766580366e-13,6.65149447967811e-10,-4.24868006079208
"207175_at",4117.25534883721,3796.40830232558,8.6146417692863,3.2168106703525e-13,7.16801921674648e-10,-4.2503785368895
"210964_s_at",1752.2353255814,1271.05043023256,8.58641593368585,3.6691688889724e-13,7.43273548663382e-10,-4.2516233814666
"205913_at",3188.12220930233,2508.74273255814,8.53503236827245,4.66196336276793e-13,8.65687746771314e-10,-4.25389846363158
"204388_s_at",1124.75342790698,981.903309302326,8.50109491061795,5.4606078465429e-13,9.35990189573196e-10,-4.25540738773448
"218087_s_at",2470.96604883721,1870.22225465116,8.47442305558476,6.18301719384881e-13,9.84115515218094e-10,-4.25659677453667
"210201_x_at",1094.5698372093,1246.01529069767,8.35921451671996,1.05719395696176e-12,1.57049686286526e-09,-4.26176960318862
"219295_s_at",2285.70115581395,1740.68093372093,8.32211938017089,1.25636158538869e-12,1.67259777153121e-09,-4.26344730751093
"209771_x_at",-3195.35251162791,3276.16653488372,-8.31877737395717,1.2760473058399e-12,1.67259777153121e-09,-4.26359874590136
"203549_s_at",3731.30534883721,4362.99313953488,8.26575064313009,1.63294805681834e-12,1.9720079166176e-09,-4.26600795872594
"204894_s_at",1866.35923255814,1679.59936046512,8.25945316112125,1.68146795385425e-12,1.9720079166176e-09,-4.26629487396172
"218168_s_at",887.763434883722,748.62471744186,8.20631125928285,2.15259674555415e-12,2.32536864334036e-09,-4.26872274059429
"213524_s_at",2971.27904651163,3178.22652325581,8.20245859077608,2.1914796710563e-12,2.32536864334036e-09,-4.26889922060734
"212741_at",2521.20119069767,1841.46626511628,8.17918690521567,2.4417047748969e-12,2.47311397722853e-09,-4.2699665651847
"203571_s_at",984.611190697675,707.750502325581,8.16097871906853,2.65719564815659e-12,2.57436046208145e-09,-4.27080326780926
"221009_s_at",329.483376744186,261.714334883721,8.11546293377751,3.28250712543508e-12,3.03885386217478e-09,-4.27290090764436
"205220_at",722.542953488373,700.814755813954,8.10729237842137,3.40938592444328e-12,3.03885386217478e-09,-4.27327837555703
"219398_at",2918.4251627907,3287.78672093023,8.02375035889696,5.02323978113606e-12,4.30510969396365e-09,-4.27715387740149
"204151_x_at",4485.93886046512,4535.65096511628,7.98573624554935,5.99109214202611e-12,4.92162919149405e-09,-4.27892693305332
"205478_at",1248.34541162791,774.051612790698,7.97888491973874,6.18433861517001e-12,4.92162919149405e-09,-4.27924712705699
"219738_s_at",559.963704651163,502.338380232558,7.9246834193816,7.94907297893213e-12,6.10790321343257e-09,-4.28178700987105
"222317_at",716.584564883721,416.152205930233,7.91554278193997,8.29265381276082e-12,6.15950683032497e-09,-4.28221652560341
